ITEM_CODE,STAGE,PROCESS,QUANTITY,LEAD_TIME_ESTIMATE,PARALLEL_STEPS,CAN_PARALLELIZE,OPEN_QTY,URGENCY,START_DATE,EST_COMPLETION
ABB436,RFM,Ready for Machining (HM01),1.0,345.0,0,True,0,CRITICAL,2025-07-24,2026-07-04
TOS013,RFM,Ready for Machining (OUT-DYNO),3.0,315.0,0,True,0,CRITICAL,2025-07-24,2026-06-04
ABB373,RFM,Ready for Machining (HM01),33.0,264.0,0,True,0,CRITICAL,2025-07-24,2026-04-14
ARE255,RFM,Ready for Machining (HM02),27.0,228.0,0,True,0,CRITICAL,2025-07-24,2026-03-09
ARE330,RFM,Ready for Machining (HM05),6.0,228.0,0,True,0,CRITICAL,2025-07-24,2026-03-09
HYO025,RFM,Ready for Machining (OUT-DYNO),5.0,228.0,0,True,0,CRITICAL,2025-07-24,2026-03-09
HYO026,RFM,Ready for Machining (OUT-DYNO),11.0,228.0,0,True,0,CRITICAL,2025-07-24,2026-03-09
SIE469,RFM,Ready for Machining (OUT-EAGLE),3.0,168.0,0,True,0,CRITICAL,2025-07-24,2026-01-08
ABB401,RFM,Ready for Machining (OUT-DYNO),4.0,4.0,0,True,0,CRITICAL,2025-07-24,2025-07-28
ABB402,RFM,Ready for Machining (OUT-DYNO),7.0,4.0,0,True,0,CRITICAL,2025-07-24,2025-07-28
ABB405,RFM,Ready for Machining (OUT-DYNO),15.0,4.0,0,True,0,CRITICAL,2025-07-24,2025-07-28
ABB420,RFM,Ready for Machining (HM10),1.0,4.0,0,True,0,CRITICAL,2025-07-24,2025-07-28
ABB429,RFM,Ready for Machining (HM02),12.0,4.0,0,True,0,CRITICAL,2025-07-24,2025-07-28
ABB435,RFM,Ready for Machining (HM07),12.0,4.0,0,True,0,CRITICAL,2025-07-24,2025-07-28
ABB439,RFM,Ready for Machining (HM02),2.0,4.0,0,True,0,CRITICAL,2025-07-24,2025-07-28
ABB447,RFM,Ready for Machining (HM07),8.0,4.0,0,True,0,CRITICAL,2025-07-24,2025-07-28
ABB448,RFM,Ready for Machining (HM10),5.0,4.0,0,True,0,CRITICAL,2025-07-24,2025-07-28
