ITEM_CODE,TOTAL_DEMAND,TOTAL_DISPATCHED,TOTAL_OPEN,FULFILLMENT_RATE_PCT,UNIQUE_CUSTOMERS,TOP_CUSTOMER,TOP_CUSTOMER_SHARE_PCT,AVG_ORDER_SIZE,RECENT_DEMAND_90D,DEMAND_CONCENTRATION
1HC0027512P0001,483.0,67.0,416.0,13.87,3,PFIFFNER Messwandler AG,43.89,96.6,130.0,Medium
1HC0027512P0001-UPACZ,42.0,0.0,42.0,0.0,1,ABB s.r.o.,100.0,42.0,42.0,High
1HSB445422-B_R0E,943.0,90.0,853.0,9.54,3,"HITACHI ENERGY VIETNAM, BAC NINH BRANCH",76.35,47.15,240.0,High
2GHV008286P0001_R0B,175.0,0.0,175.0,0.0,1,Hitachi Energy India Limited,100.0,175.0,175.0,High
C1B42748110001,2.0,0.0,2.0,0.0,1,Siemens Ltd -CWC,100.0,1.0,0.0,High
C1B46827479001_RU0,82.0,10.0,72.0,12.2,1,Siemens Ltd -CWC,100.0,16.4,22.0,High
CC01619-001,48.0,0.0,48.0,0.0,1,GE Grid Solutions LLC,100.0,12.0,12.0,High
DYB0613303W001,57.0,26.0,31.0,45.61,1,Hyosung T&D India Pvt Ltd,100.0,11.4,0.0,High
DYB0623245W001,104.0,36.0,68.0,34.62,1,Hyosung T&D India Pvt Ltd,100.0,13.0,0.0,High
HE70P21Z42161,180.0,3.0,177.0,1.67,1,GE T&D India Ltd (CHT),100.0,18.0,0.0,High
HE70P21Z42162,18.0,0.0,18.0,0.0,1,GE T&D India Ltd (CHT),100.0,9.0,0.0,High
HE70P21Z42171,15.0,11.0,4.0,73.33,1,GE T&D India Ltd (CHT),100.0,7.5,0.0,High
HRCC0015282103,180.0,27.0,153.0,15.0,1,GE T&D India Ltd (CHT),100.0,60.0,0.0,High
PTD4848110001,222.0,161.0,61.0,72.52,1,Siemens Ltd -CWC,100.0,55.5,0.0,High
T6866845#002_PNT,9.0,0.0,9.0,0.0,1,"Toshiba Transmission & Distribution System_x000D_
(India) Private Limited._x000D_
",100.0,9.0,0.0,High
T6866845#004_R04_PNT,376.0,50.0,326.0,13.3,1,"Toshiba Transmission & Distribution System_x000D_
(India) Private Limited._x000D_
",100.0,75.2,0.0,High
T6866845#008_PNT,85.0,0.0,85.0,0.0,1,"Toshiba Transmission & Distribution System_x000D_
(India) Private Limited._x000D_
",100.0,28.33,0.0,High
