ITEM_1,ITEM_2,ITEM_1_PROCESSES,ITEM_2_PROCESSES,RESOURCE_CONFLICT,CAN_RUN_PARALLEL
ABB436,TOS013,"154, 9.58438, 17, 110, 100, 193, 49.66, Ready for Machining (HM01), 2, 80","20, 154, 30, 60, 50, 9.58438, 1, Ready for Machining (OUT-DYNO), 193, 49.66, 70, 2, 4, 80","154, 193, 49.66, 2, 80, 9.58438",False
ABB436,ABB373,"154, 9.58438, 17, 110, 100, 193, 49.66, Ready for Machining (HM01), 2, 80","90, 20, 40, 30, 50, 60, 130, 110, 100, Ready for Machining (HM01), 70, 140, 80","110, 100, Ready for Machining (HM01), 80",False
ABB436,ARE255,"154, 9.58438, 17, 110, 100, 193, 49.66, Ready for Machining (HM01), 2, 80","154, 60, 50, 9.58438, 17, Ready for Machining (HM02), 110, 193, 49.66, 70, 2, 4, 10, 80","154, 17, 110, 193, 49.66, 2, 80, 9.58438",False
ABB436,ARE330,"154, 9.58438, 17, 110, 100, 193, 49.66, Ready for Machining (HM01), 2, 80","154, 40, Ready for Machining (HM05), 60, 9.58438, 17, 1, 110, 193, 49.66, 70, 2, 4, 140, 80","154, 17, 110, 193, 49.66, 2, 80, 9.58438",False
ABB436,HYO025,"154, 9.58438, 17, 110, 100, 193, 49.66, Ready for Machining (HM01), 2, 80","20, 154, 40, 60, 50, 9.58438, 1, 17, 100, Ready for Machining (OUT-DYNO), 110, 193, 49.66, 70, 2, 4, 80","154, 17, 110, 100, 193, 49.66, 2, 80, 9.58438",False
ABB436,HYO026,"154, 9.58438, 17, 110, 100, 193, 49.66, Ready for Machining (HM01), 2, 80","20, 154, 30, 60, 50, 1, 17, 100, Ready for Machining (OUT-DYNO), 193, 49.66, 70, 2, 4, 9.58438","154, 17, 100, 193, 49.66, 2, 9.58438",False
ABB436,SIE469,"154, 9.58438, 17, 110, 100, 193, 49.66, Ready for Machining (HM01), 2, 80","90, 154, 40, 60, 9.58438, 17, 110, Ready for Machining (OUT-EAGLE), 193, 49.66, 70, 2, 4, 80","154, 17, 110, 193, 49.66, 2, 80, 9.58438",False
ABB436,ABB401,"154, 9.58438, 17, 110, 100, 193, 49.66, Ready for Machining (HM01), 2, 80",Ready for Machining (OUT-DYNO),No,True
ABB436,ABB402,"154, 9.58438, 17, 110, 100, 193, 49.66, Ready for Machining (HM01), 2, 80","Ready for Machining (OUT-DYNO), 193, 49.66, 70, 2, 9.58438","2, 193, 49.66, 9.58438",False
ABB436,ABB405,"154, 9.58438, 17, 110, 100, 193, 49.66, Ready for Machining (HM01), 2, 80",Ready for Machining (OUT-DYNO),No,True
ABB436,ABB420,"154, 9.58438, 17, 110, 100, 193, 49.66, Ready for Machining (HM01), 2, 80",Ready for Machining (HM10),No,True
ABB436,ABB429,"154, 9.58438, 17, 110, 100, 193, 49.66, Ready for Machining (HM01), 2, 80","154, 40, 60, 140, 9.58438, 1, Ready for Machining (HM02), 17, 130, 110, 193, 49.66, 70, 2, 4, 120, 80","154, 17, 110, 193, 49.66, 2, 80, 9.58438",False
ABB436,ABB435,"154, 9.58438, 17, 110, 100, 193, 49.66, Ready for Machining (HM01), 2, 80","154, 60, 9.58438, 17, 110, 4, 193, 49.66, 70, 2, Ready for Machining (HM07), 80","154, 17, 110, 193, 49.66, 2, 80, 9.58438",False
ABB436,ABB439,"154, 9.58438, 17, 110, 100, 193, 49.66, Ready for Machining (HM01), 2, 80","154, 17, Ready for Machining (HM02), 100, 193, 49.66, 70, 9.58438","154, 17, 100, 193, 49.66, 9.58438",False
ABB436,ABB447,"154, 9.58438, 17, 110, 100, 193, 49.66, Ready for Machining (HM01), 2, 80",Ready for Machining (HM07),No,True
ABB436,ABB448,"154, 9.58438, 17, 110, 100, 193, 49.66, Ready for Machining (HM01), 2, 80","154, 60, 50, 9.58438, 17, Ready for Machining (HM10), 110, 193, 49.66, 4, 80","154, 17, 110, 193, 49.66, 80, 9.58438",False
ABB436,ABB449,"154, 9.58438, 17, 110, 100, 193, 49.66, Ready for Machining (HM01), 2, 80",Ready for Machining (OUT-EAGLE),No,True
ABB436,ABB456,"154, 9.58438, 17, 110, 100, 193, 49.66, Ready for Machining (HM01), 2, 80","154, 40, 60, 50, 9.58438, 17, 110, 4, 193, 49.66, 70, 2, Ready for Machining (HM07), 80","154, 17, 110, 193, 49.66, 2, 80, 9.58438",False
ABB436,ABB457,"154, 9.58438, 17, 110, 100, 193, 49.66, Ready for Machining (HM01), 2, 80","90, 40, Ready for Machining (SANPOWER), 17, 110, 100, 193, 49.66, 70, 2, 4, 9.58438","17, 110, 100, 193, 49.66, 2, 9.58438",False
TOS013,ABB373,"20, 154, 30, 60, 50, 9.58438, 1, Ready for Machining (OUT-DYNO), 193, 49.66, 70, 2, 4, 80","90, 20, 40, 30, 50, 60, 130, 110, 100, Ready for Machining (HM01), 70, 140, 80","20, 30, 60, 50, 70, 80",False
TOS013,ARE255,"20, 154, 30, 60, 50, 9.58438, 1, Ready for Machining (OUT-DYNO), 193, 49.66, 70, 2, 4, 80","154, 60, 50, 9.58438, 17, Ready for Machining (HM02), 110, 193, 49.66, 70, 2, 4, 10, 80","154, 60, 50, 4, 193, 49.66, 70, 2, 80, 9.58438",False
