ITEM_CODE,STAGE,PROCESS,QTY,TONNAGE,DATE,AGING
1HSB445422-B,RFD,Ready for Dispatch,2.0,0.09931999999999999,2025-07-24 02:16:02.776987,
2GHV008286P0001_R0B,RFD,Ready for Dispatch,2.0,0.09931999999999999,2025-07-24 02:16:02.776987,
1HSB445422-B_R0E,RFD,Ready for Dispatch,3.0,0.14898,2025-07-24 02:16:02.776987,
1HC0027300K0012,RFD,Ready for Dispatch,1.0,0.06146,2025-07-24 02:16:02.776987,
1HC0027300P0001,RFD,Ready for Dispatch,1.0,0.06146,2025-07-24 02:16:02.776987,
1HC0027300K0012_RAP,RFD,Ready for Dispatch,3.0,0.18438,2025-07-24 02:16:02.776987,
2GHV118745K0012_R0E,RFD,Ready for Dispatch,18.0,0.9,2025-07-24 02:16:02.776987,
2GHV038270P0001,RFD,Ready for Dispatch,3.0,0.327,2025-07-24 02:16:02.776987,
2GHV066923P1003-1_RF,RFD,Ready for Dispatch,1.0,0.0853,2025-07-24 02:16:02.776987,
1HC0027512P0001-UPACZ,RFD,Ready for Dispatch,1.0,0.083,2025-07-24 02:16:02.776987,
1HC0027512P0001,RFD,Ready for Dispatch,6.0,0.498,2025-07-24 02:16:02.776987,
1HC0026257P0001,RFD,Ready for Dispatch,1.0,0.0592,2025-07-24 02:16:02.776987,
2GHV008663P0001-06,RFD,Ready for Dispatch,1.0,0.033659999999999995,2025-07-24 02:16:02.776987,
2GHV008663P0002-06,RFD,Ready for Dispatch,4.0,0.13463999999999998,2025-07-24 02:16:02.776987,
2GHV008663P0001,RFD,Ready for Dispatch,1.0,0.033659999999999995,2025-07-24 02:16:02.776987,
2GHV008663P0001_R0E,RFD,Ready for Dispatch,1.0,0.033659999999999995,2025-07-24 02:16:02.776987,
491D18601_R0D,RFD,Ready for Dispatch,4.0,0.096,2025-07-24 02:16:02.776987,
491D16201,RFD,Ready for Dispatch,33.0,0.92862,2025-07-24 02:16:02.776987,
2GHV123825-0001_R0J,RFD,Ready for Dispatch,21.0,0.76293,2025-07-24 02:16:02.776987,
2GHV971078P0051_R0N,RFD,Ready for Dispatch,1.0,0.09006,2025-07-24 02:16:02.776987,
2GHV096887P0001,RFD,Ready for Dispatch,2.0,0.3068,2025-07-24 02:16:02.776987,
2GHV089738P1001_R0C_PNT,RFD,Ready for Dispatch,2.0,0.1689,2025-07-24 02:16:02.776987,
HE70P11Z62661,RFD,Ready for Dispatch,33.0,0.307923,2025-07-24 02:16:02.776987,
HE70P22Z60561,RFD,Ready for Dispatch,2.0,0.0154,2025-07-24 02:16:02.776987,
HE70P11Z44261,RFD,Ready for Dispatch,1.0,0.011,2025-07-24 02:16:02.776987,
HE70P22Z60661,RFD,Ready for Dispatch,10.0,0.09259999999999999,2025-07-24 02:16:02.776987,
HE70P44Z40261,RFD,Ready for Dispatch,2.0,0.35258999999999996,2025-07-24 02:16:02.776987,
HE70P07Z65101,RFD,Ready for Dispatch,8.0,0.056799999999999996,2025-07-24 02:16:02.776987,
HE70P44Z60301,RFD,Ready for Dispatch,18.0,0.054936,2025-07-24 02:16:02.776987,
GD70P11Z42601301,RFD,Ready for Dispatch,1.0,0.395,2025-07-24 02:16:02.776987,
HE70P12Z41161,RFD,Ready for Dispatch,4.0,0.05812,2025-07-24 02:16:02.776987,
HE70P44Z60162,RFD,Ready for Dispatch,7.0,0.11760000000000001,2025-07-24 02:16:02.776987,
GD_SM70P30Z40401,RFD,Ready for Dispatch,8.0,0.6224,2025-07-24 02:16:02.776987,
GD_SM70P50Z80261,RFD,Ready for Dispatch,9.0,0.8235,2025-07-24 02:16:02.776987,
GD_SM70P21Z43802,RFD,Ready for Dispatch,1.0,0.056,2025-07-24 02:16:02.776987,
GD_SM70P07Z85301,RFD,Ready for Dispatch,2.0,0.1044,2025-07-24 02:16:02.776987,
HE53P44Z40463_R07,RFD,Ready for Dispatch,1.0,0.06453,2025-07-24 02:16:02.776987,
CC01577-001,RFD,Ready for Dispatch,3.0,0.25379999999999997,2025-07-24 02:16:02.776987,
GD_SM06P11Z42873,RFD,Ready for Dispatch,1.0,0.05223,2025-07-24 02:16:02.776987,
GD4729142261,RFD,Ready for Dispatch,2.0,0.4715,2025-07-24 02:16:02.776987,
JE4729542261,RFD,Ready for Dispatch,4.0,0.48,2025-07-24 02:16:02.776987,
JE4729642064_R06,RFD,Ready for Dispatch,4.0,0.468,2025-07-24 02:16:02.776987,
HE53P07Z51401_R10,RFD,Ready for Dispatch,3.0,0.06339,2025-07-24 02:16:02.776987,
GD_SM57P40Z40961_RH,RFD,Ready for Dispatch,4.0,0.352,2025-07-24 02:16:02.776987,
CC416833-001_R4,RFD,Ready for Dispatch,1.0,0.049,2025-07-24 02:16:02.776987,
CC992118-001_R6,RFD,Ready for Dispatch,3.0,0.21,2025-07-24 02:16:02.776987,
14450203002,RFD,Ready for Dispatch,3.0,0.018,2025-07-24 02:16:02.776987,
4081457-1,RFD,Ready for Dispatch,1.0,0.0508,2025-07-24 02:16:02.776987,
4023941-3,RFD,Ready for Dispatch,1.0,0.0508,2025-07-24 02:16:02.776987,
4023941-6_RH,RFD,Ready for Dispatch,12.0,0.6095999999999999,2025-07-24 02:16:02.776987,
4023941-2,RFD,Ready for Dispatch,1.0,0.0508,2025-07-24 02:16:02.776987,
4023941-9_RH,RFD,Ready for Dispatch,10.0,0.508,2025-07-24 02:16:02.776987,
4023941-1_RH,RFD,Ready for Dispatch,39.0,1.9811999999999999,2025-07-24 02:16:02.776987,
4023941-5_RH,RFD,Ready for Dispatch,2.0,0.1016,2025-07-24 02:16:02.776987,
4023941-3_RH,RFD,Ready for Dispatch,1.0,0.0508,2025-07-24 02:16:02.776987,
2912126-02,RFD,Ready for Dispatch,9.0,0.3618,2025-07-24 02:16:02.776987,
4070602-3,RFD,Ready for Dispatch,1.0,0.1356,2025-07-24 02:16:02.776987,
4070602-1_R04,RFD,Ready for Dispatch,1.0,0.1356,2025-07-24 02:16:02.776987,
455D0003_R13,RFD,Ready for Dispatch,7.0,0.875,2025-07-24 02:16:02.776987,
455D0004_R10,RFD,Ready for Dispatch,3.0,0.252,2025-07-24 02:16:02.776987,
4010550-1_RE,RFD,Ready for Dispatch,3.0,0.189,2025-07-24 02:16:02.776987,
2910696_01_R14,RFD,Ready for Dispatch,1.0,0.065,2025-07-24 02:16:02.776987,
2910314_R5,RFD,Ready for Dispatch,1.0,0.058,2025-07-24 02:16:02.776987,
FIB003,RFD,Ready for Dispatch,2.0,0.03,2025-07-24 02:16:02.776987,
84E905217P1,RFD,Ready for Dispatch,1.0,0.026,2025-07-24 02:16:02.776987,
84E905217P1_RF,RFD,Ready for Dispatch,5.0,0.13,2025-07-24 02:16:02.776987,
41C640414G1-A,RFD,Ready for Dispatch,1.0,0.0195,2025-07-24 02:16:02.776987,
41C640414G1,RFD,Ready for Dispatch,1.0,0.018,2025-07-24 02:16:02.776987,
2GHV039429P1001_RF_PNT,RFD,Ready for Dispatch,2.0,0.37,2025-07-24 02:16:02.776987,
2GHV073064P0002_RF,RFD,Ready for Dispatch,1.0,0.047,2025-07-24 02:16:02.776987,
DYB0601166W001_R21,RFD,Ready for Dispatch,3.0,0.216,2025-07-24 02:16:02.776987,
DYB0618216W001,RFD,Ready for Dispatch,3.0,0.25379999999999997,2025-07-24 02:16:02.776987,
DYB0606140W003,RFD,Ready for Dispatch,2.0,0.116,2025-07-24 02:16:02.776987,
DYB0609805W009,RFD,Ready for Dispatch,1.0,0.058,2025-07-24 02:16:02.776987,
DYB0606140W004,RFD,Ready for Dispatch,1.0,0.058,2025-07-24 02:16:02.776987,
DYB0611519W001_R13,RFD,Ready for Dispatch,7.0,1.288,2025-07-24 02:16:02.776987,
DYB0603246W002,RFD,Ready for Dispatch,1.0,0.11666,2025-07-24 02:16:02.776987,
DYB0609271W001,RFD,Ready for Dispatch,1.0,0.14706,2025-07-24 02:16:02.776987,
DYB0616833W001,RFD,Ready for Dispatch,5.0,1.3675,2025-07-24 02:16:02.776987,
DYB0602875W005,RFD,Ready for Dispatch,1.0,0.072,2025-07-24 02:16:02.776987,
DYB0623638W005_R0,RFD,Ready for Dispatch,7.0,0.504,2025-07-24 02:16:02.776987,
DYB0619248W002,RFD,Ready for Dispatch,1.0,0.14,2025-07-24 02:16:02.776987,
DYB0690186W002_R00,RFD,Ready for Dispatch,1.0,0.14,2025-07-24 02:16:02.776987,
DYB0619248W001_R09,RFD,Ready for Dispatch,8.0,1.12,2025-07-24 02:16:02.776987,
DYB0624777W001,RFD,Ready for Dispatch,1.0,0.14,2025-07-24 02:16:02.776987,
DYB0603256W002,RFD,Ready for Dispatch,1.0,0.0726,2025-07-24 02:16:02.776987,
DYB0603256W003,RFD,Ready for Dispatch,1.0,0.0726,2025-07-24 02:16:02.776987,
DYB0603253W003,RFD,Ready for Dispatch,1.0,0.11906,2025-07-24 02:16:02.776987,
DYB0609402T0001,RFD,Ready for Dispatch,3.0,0.34979999999999994,2025-07-24 02:16:02.776987,
DYB0603262W001,RFD,Ready for Dispatch,1.0,0.339,2025-07-24 02:16:02.776987,
DYB0606682W002_R18,RFD,Ready for Dispatch,1.0,0.06709999999999999,2025-07-24 02:16:02.776987,
DYB0606682W001,RFD,Ready for Dispatch,21.0,1.4091,2025-07-24 02:16:02.776987,
DYB0618397W002,RFD,Ready for Dispatch,2.0,0.20026,2025-07-24 02:16:02.776987,
DYB0107066W001,RFD,Ready for Dispatch,3.0,0.32738999999999996,2025-07-24 02:16:02.776987,
DYB0623245W001,RFD,Ready for Dispatch,14.0,0.721,2025-07-24 02:16:02.776987,
DYB0613303W001,RFD,Ready for Dispatch,1.0,0.04226,2025-07-24 02:16:02.776987,
DYB0624734W001,RFD,Ready for Dispatch,2.0,0.34,2025-07-24 02:16:02.776987,
DYB0625403W001_R01,RFD,Ready for Dispatch,1.0,0.107,2025-07-24 02:16:02.776987,
DYB0619819W001,RFD,Ready for Dispatch,1.0,0.098,2025-07-24 02:16:02.776987,
DDF10182K-12_RP,RFD,Ready for Dispatch,10.0,1.48,2025-07-24 02:16:02.776987,
DDF20432K-1_RF,RFD,Ready for Dispatch,30.0,0.48,2025-07-24 02:16:02.776987,
NAM002,RFD,Ready for Dispatch,1.0,0.037,2025-07-24 02:16:02.776987,
412301-2811100-04,RFD,Ready for Dispatch,1.0,0.037,2025-07-24 02:16:02.776987,
OBX002,RFD,Ready for Dispatch,6.0,0.138,2025-07-24 02:16:02.776987,
30.323.21,RFD,Ready for Dispatch,1.0,0.109,2025-07-24 02:16:02.776987,
100820111,RFD,Ready for Dispatch,1.0,0.125,2025-07-24 02:16:02.776987,
100821111,RFD,Ready for Dispatch,1.0,0.1335,2025-07-24 02:16:02.776987,
412-29223-001-E,RFD,Ready for Dispatch,7.0,0.08120000000000001,2025-07-24 02:16:02.776987,
412-29224-002-H,RFD,Ready for Dispatch,1.0,0.018,2025-07-24 02:16:02.776987,
C1B46827171001_RH,RFD,Ready for Dispatch,5.0,0.29065,2025-07-24 02:16:02.776987,
C1B46827171004_RH,RFD,Ready for Dispatch,5.0,0.29065,2025-07-24 02:16:02.776987,
C1B46827167011_RL,RFD,Ready for Dispatch,3.0,0.207,2025-07-24 02:16:02.776987,
C1B46827167007_RL,RFD,Ready for Dispatch,2.0,0.138,2025-07-24 02:16:02.776987,
C1B46817838001_RF0_BER,RFD,Ready for Dispatch,2.0,0.54526,2025-07-24 02:16:02.776987,
C1B46817838001_RF0,RFD,Ready for Dispatch,2.0,0.54526,2025-07-24 02:16:02.776987,
C1B46817811101,RFD,Ready for Dispatch,4.0,0.4744,2025-07-24 02:16:02.776987,
C1B46817811125_RD1,RFD,Ready for Dispatch,1.0,0.1186,2025-07-24 02:16:02.776987,
C1B46817811104_RD1,RFD,Ready for Dispatch,1.0,0.1186,2025-07-24 02:16:02.776987,
C1B46819884001_RC0,RFD,Ready for Dispatch,9.0,0.89334,2025-07-24 02:16:02.776987,
C1B46819884061_RB0,RFD,Ready for Dispatch,1.0,0.09926,2025-07-24 02:16:02.776987,
C1B46817883001_RG0,RFD,Ready for Dispatch,1.0,0.082,2025-07-24 02:16:02.776987,
C1B46817895001_RH_BER,RFD,Ready for Dispatch,2.0,0.14959999999999998,2025-07-24 02:16:02.776987,
C1B46828410011_RU0,RFD,Ready for Dispatch,1.0,0.033,2025-07-24 02:16:02.776987,
PTD4706545002_RA,RFD,Ready for Dispatch,51.0,0.45543,2025-07-24 02:16:02.776987,
PTD4627610001_RG,RFD,Ready for Dispatch,12.0,1.1628000000000003,2025-07-24 02:16:02.776987,
C1B46827006002_BER,RFD,Ready for Dispatch,2.0,0.218,2025-07-24 02:16:02.776987,
C1B46827006003_RC1_BER,RFD,Ready for Dispatch,2.0,0.218,2025-07-24 02:16:02.776987,
C1B46827007002_RW0_BER,RFD,Ready for Dispatch,1.0,0.109,2025-07-24 02:16:02.776987,
C1B46827007002,RFD,Ready for Dispatch,2.0,0.218,2025-07-24 02:16:02.776987,
C1B46827007003,RFD,Ready for Dispatch,2.0,0.218,2025-07-24 02:16:02.776987,
PTD4707214001_RF,RFD,Ready for Dispatch,1.0,0.0316,2025-07-24 02:16:02.776987,
C1B46817427014_RE_BER,RFD,Ready for Dispatch,8.0,0.936,2025-07-24 02:16:02.776987,
C1B46817427005_RE_BER,RFD,Ready for Dispatch,1.0,0.117,2025-07-24 02:16:02.776987,
PTD4130035814_R2,RFD,Ready for Dispatch,3.0,0.174,2025-07-24 02:16:02.776987,
P6231516#001N,RFD,Ready for Dispatch,1.0,0.04506,2025-07-24 02:16:02.776987,
P6231915#001N,RFD,Ready for Dispatch,8.0,0.36048,2025-07-24 02:16:02.776987,
T6866341#005N,RFD,Ready for Dispatch,2.0,0.12,2025-07-24 02:16:02.776987,
T6866341#001N,RFD,Ready for Dispatch,1.0,0.06,2025-07-24 02:16:02.776987,
T6861776#004N,RFD,Ready for Dispatch,1.0,0.0384,2025-07-24 02:16:02.776987,
P6833682#002N,RFD,Ready for Dispatch,2.0,0.092,2025-07-24 02:16:02.776987,
P6833682#003N,RFD,Ready for Dispatch,2.0,0.092,2025-07-24 02:16:02.776987,
P6203699#001N,RFD,Ready for Dispatch,14.0,0.644,2025-07-24 02:16:02.776987,
P6832097#008N,RFD,Ready for Dispatch,8.0,0.368,2025-07-24 02:16:02.776987,
P6835099#001N,RFD,Ready for Dispatch,1.0,0.046,2025-07-24 02:16:02.776987,
