ITEM_CODE,TOTAL_PROCESSES,PARALLEL_PROCESSES,PROCESS_OWNERS,LEAD_TIME_SERIAL,LEAD_TIME_PARALLELIZED,TIME_SAVED_DAYS,EFFICIENCY_GAIN_PCT,BOTTLENECK_PROCESSES,COMPLEXITY_SCORE
1HC0027512P0001,1,0,1,30.0,30.0,0.0,0.0,DEFAULT(30.0d),1.0
1HC0027512P0001-UPACZ,1,0,1,30.0,30.0,0.0,0.0,DEFAULT(30.0d),1.0
1HSB445422-B_R0E,1,0,1,30.0,30.0,0.0,0.0,DEFAULT(30.0d),1.0
2GHV008286P0001_R0B,1,0,1,30.0,30.0,0.0,0.0,DEFAULT(30.0d),1.0
ABB373,22,5,8,264.0,264.0,0.0,0.0,"MOULD(12.0d), POUR(12.0d), K_D(12.0d)",29.33
ABB401,1,0,1,30.0,30.0,0.0,0.0,DEFAULT(30.0d),1.0
ABB402,1,0,1,30.0,30.0,0.0,0.0,DEFAULT(30.0d),1.0
ABB405,1,0,1,30.0,30.0,0.0,0.0,DEFAULT(30.0d),1.0
ABB419,1,0,1,30.0,30.0,0.0,0.0,DEFAULT(30.0d),1.0
ABB420,1,0,1,30.0,30.0,0.0,0.0,DEFAULT(30.0d),1.0
ABB429,1,0,1,30.0,30.0,0.0,0.0,DEFAULT(30.0d),1.0
ABB435,1,0,1,30.0,30.0,0.0,0.0,DEFAULT(30.0d),1.0
ABB436,23,6,9,345.0,345.0,0.0,0.0,"MOULD(15.0d), POUR(15.0d), K_D(15.0d)",29.57
ABB439,1,0,1,30.0,30.0,0.0,0.0,DEFAULT(30.0d),1.0
ABB447,1,0,1,30.0,30.0,0.0,0.0,DEFAULT(30.0d),1.0
ABB448,1,0,1,30.0,30.0,0.0,0.0,DEFAULT(30.0d),1.0
ABB449,1,0,1,30.0,30.0,0.0,0.0,DEFAULT(30.0d),1.0
ABB451,1,0,1,30.0,30.0,0.0,0.0,DEFAULT(30.0d),1.0
ABB456,1,0,1,30.0,30.0,0.0,0.0,DEFAULT(30.0d),1.0
ABB457,1,0,1,30.0,30.0,0.0,0.0,DEFAULT(30.0d),1.0
ABB459,1,0,1,30.0,30.0,0.0,0.0,DEFAULT(30.0d),1.0
ABB460,1,0,1,30.0,30.0,0.0,0.0,DEFAULT(30.0d),1.0
ABB461,1,0,1,30.0,30.0,0.0,0.0,DEFAULT(30.0d),1.0
ABB462,1,0,1,30.0,30.0,0.0,0.0,DEFAULT(30.0d),1.0
ABB463,1,0,1,30.0,30.0,0.0,0.0,DEFAULT(30.0d),1.0
ABB464,1,0,1,30.0,30.0,0.0,0.0,DEFAULT(30.0d),1.0
ABB465,1,0,1,30.0,30.0,0.0,0.0,DEFAULT(30.0d),1.0
ABB471,1,0,1,30.0,30.0,0.0,0.0,DEFAULT(30.0d),1.0
ABB473,1,0,1,30.0,30.0,0.0,0.0,DEFAULT(30.0d),1.0
ABB474,1,0,1,30.0,30.0,0.0,0.0,DEFAULT(30.0d),1.0
ABB477,1,0,1,30.0,30.0,0.0,0.0,DEFAULT(30.0d),1.0
ABB478,1,0,1,30.0,30.0,0.0,0.0,DEFAULT(30.0d),1.0
ALL005,1,0,1,30.0,30.0,0.0,0.0,DEFAULT(30.0d),1.0
ALL006,1,0,1,30.0,30.0,0.0,0.0,DEFAULT(30.0d),1.0
ARE130,1,0,1,30.0,30.0,0.0,0.0,DEFAULT(30.0d),1.0
ARE234,1,0,1,30.0,30.0,0.0,0.0,DEFAULT(30.0d),1.0
ARE236,1,0,1,30.0,30.0,0.0,0.0,DEFAULT(30.0d),1.0
ARE237,1,0,1,30.0,30.0,0.0,0.0,DEFAULT(30.0d),1.0
ARE239,1,0,1,30.0,30.0,0.0,0.0,DEFAULT(30.0d),1.0
