ITEM_1,ITEM_2,ITEM_1_URGENCY,ITEM_2_URGENCY,ITEM_1_PROCESSES,ITEM_2_PROCESSES,ITEM_1_MACHINES,ITEM_2_MACHINES,PROCESS_CONFLICTS,MACHINE_CONFLICTS,CAN_RUN_PARALLEL,SEQUENTIAL_TIME_DAYS,PARALLEL_TIME_DAYS,TIME_SAVED_DAYS,EFFICIENCY_GAIN_PCT
ABB401,ABB420,CRITICAL,CRITICAL,Ready for Machining (OUT-DYNO),Ready for Machining (HM10),OUT-DYNO,HM10,,,True,8.0,4.0,4.0,50.0
ABB401,ABB447,CRITICAL,CRITICAL,Ready for Machining (OUT-DYNO),Ready for Machining (HM07),OUT-DYNO,HM07,,,True,8.0,4.0,4.0,50.0
ABB401,ABB449,CRITICAL,CRITICAL,Ready for Machining (OUT-DYNO),Ready for Machining (OUT-EAGLE),OUT-DYNO,OUT-EAGLE,,,True,8.0,4.0,4.0,50.0
ABB405,ABB420,CRITICAL,CRITICAL,Ready for Machining (OUT-DYNO),Ready for Machining (HM10),OUT-DYNO,HM10,,,True,8.0,4.0,4.0,50.0
ABB405,ABB447,CRITICAL,CRITICAL,Ready for Machining (OUT-DYNO),Ready for Machining (HM07),OUT-DYNO,HM07,,,True,8.0,4.0,4.0,50.0
ABB405,ABB449,CRITICAL,CRITICAL,Ready for Machining (OUT-DYNO),Ready for Machining (OUT-EAGLE),OUT-DYNO,OUT-EAGLE,,,True,8.0,4.0,4.0,50.0
ABB420,ABB447,CRITICAL,CRITICAL,Ready for Machining (HM10),Ready for Machining (HM07),HM10,HM07,,,True,8.0,4.0,4.0,50.0
ABB420,ABB449,CRITICAL,CRITICAL,Ready for Machining (HM10),Ready for Machining (OUT-EAGLE),HM10,OUT-EAGLE,,,True,8.0,4.0,4.0,50.0
ABB447,ABB449,CRITICAL,CRITICAL,Ready for Machining (HM07),Ready for Machining (OUT-EAGLE),HM07,OUT-EAGLE,,,True,8.0,4.0,4.0,50.0
ABB402,ABB420,CRITICAL,CRITICAL,"Ready for Machining (OUT-DYNO), 9.58438, 193, 49.66, 2, 70",Ready for Machining (HM10),"OUT-DYNO, GENERAL",HM10,,,True,17.7,13.7,4.0,22.6
ABB402,ABB447,CRITICAL,CRITICAL,"Ready for Machining (OUT-DYNO), 9.58438, 193, 49.66, 2, 70",Ready for Machining (HM07),"OUT-DYNO, GENERAL",HM07,,,True,17.7,13.7,4.0,22.6
ABB402,ABB449,CRITICAL,CRITICAL,"Ready for Machining (OUT-DYNO), 9.58438, 193, 49.66, 2, 70",Ready for Machining (OUT-EAGLE),"OUT-DYNO, GENERAL",OUT-EAGLE,,,True,17.7,13.7,4.0,22.6
ABB401,ABB439,CRITICAL,CRITICAL,Ready for Machining (OUT-DYNO),"100, 154, Ready for Machining (HM02), 9.58438, 193, 49.66, 17, 70",OUT-DYNO,"HM02, GENERAL",,,True,21.6,17.6,4.0,18.52
ABB405,ABB439,CRITICAL,CRITICAL,Ready for Machining (OUT-DYNO),"100, 154, Ready for Machining (HM02), 9.58438, 193, 49.66, 17, 70",OUT-DYNO,"HM02, GENERAL",,,True,21.6,17.6,4.0,18.52
ABB420,ABB439,CRITICAL,CRITICAL,Ready for Machining (HM10),"100, 154, Ready for Machining (HM02), 9.58438, 193, 49.66, 17, 70",HM10,"HM02, GENERAL",,,True,21.6,17.6,4.0,18.52
ABB439,ABB447,CRITICAL,CRITICAL,"100, 154, Ready for Machining (HM02), 9.58438, 193, 49.66, 17, 70",Ready for Machining (HM07),"HM02, GENERAL",HM07,,,True,21.6,17.6,4.0,18.52
ABB439,ABB449,CRITICAL,CRITICAL,"100, 154, Ready for Machining (HM02), 9.58438, 193, 49.66, 17, 70",Ready for Machining (OUT-EAGLE),"HM02, GENERAL",OUT-EAGLE,,,True,21.6,17.6,4.0,18.52
ABB401,ABB448,CRITICAL,CRITICAL,Ready for Machining (OUT-DYNO),"110, 80, Ready for Machining (HM10), 154, 50, 9.58438, 193, 60, 49.66, 4, 17",OUT-DYNO,"HM10, GENERAL",,,True,27.4,23.4,4.0,14.6
ABB405,ABB448,CRITICAL,CRITICAL,Ready for Machining (OUT-DYNO),"110, 80, Ready for Machining (HM10), 154, 50, 9.58438, 193, 60, 49.66, 4, 17",OUT-DYNO,"HM10, GENERAL",,,True,27.4,23.4,4.0,14.6
ABB447,ABB448,CRITICAL,CRITICAL,Ready for Machining (HM07),"110, 80, Ready for Machining (HM10), 154, 50, 9.58438, 193, 60, 49.66, 4, 17",HM07,"HM10, GENERAL",,,True,27.4,23.4,4.0,14.6
ABB448,ABB449,CRITICAL,CRITICAL,"110, 80, Ready for Machining (HM10), 154, 50, 9.58438, 193, 60, 49.66, 4, 17",Ready for Machining (OUT-EAGLE),"HM10, GENERAL",OUT-EAGLE,,,True,27.4,23.4,4.0,14.6
ABB401,ABB435,CRITICAL,CRITICAL,Ready for Machining (OUT-DYNO),"Ready for Machining (HM07), 110, 80, 154, 2, 9.58438, 193, 60, 49.66, 4, 17, 70",OUT-DYNO,"GENERAL, HM07",,,True,29.4,25.4,4.0,13.61
ABB401,ABB457,CRITICAL,CRITICAL,Ready for Machining (OUT-DYNO),"110, 90, 17, 2, 9.58438, 193, 40, 49.66, Ready for Machining (SANPOWER), 4, 100, 70",OUT-DYNO,"SANPOWER, GENERAL",,,True,29.4,25.4,4.0,13.61
ABB405,ABB435,CRITICAL,CRITICAL,Ready for Machining (OUT-DYNO),"Ready for Machining (HM07), 110, 80, 154, 2, 9.58438, 193, 60, 49.66, 4, 17, 70",OUT-DYNO,"GENERAL, HM07",,,True,29.4,25.4,4.0,13.61
ABB405,ABB457,CRITICAL,CRITICAL,Ready for Machining (OUT-DYNO),"110, 90, 17, 2, 9.58438, 193, 40, 49.66, Ready for Machining (SANPOWER), 4, 100, 70",OUT-DYNO,"SANPOWER, GENERAL",,,True,29.4,25.4,4.0,13.61
ABB420,ABB435,CRITICAL,CRITICAL,Ready for Machining (HM10),"Ready for Machining (HM07), 110, 80, 154, 2, 9.58438, 193, 60, 49.66, 4, 17, 70",HM10,"GENERAL, HM07",,,True,29.4,25.4,4.0,13.61
ABB420,ABB457,CRITICAL,CRITICAL,Ready for Machining (HM10),"110, 90, 17, 2, 9.58438, 193, 40, 49.66, Ready for Machining (SANPOWER), 4, 100, 70",HM10,"SANPOWER, GENERAL",,,True,29.4,25.4,4.0,13.61
ABB435,ABB449,CRITICAL,CRITICAL,"Ready for Machining (HM07), 110, 80, 154, 2, 9.58438, 193, 60, 49.66, 4, 17, 70",Ready for Machining (OUT-EAGLE),"GENERAL, HM07",OUT-EAGLE,,,True,29.4,25.4,4.0,13.61
ABB447,ABB457,CRITICAL,CRITICAL,Ready for Machining (HM07),"110, 90, 17, 2, 9.58438, 193, 40, 49.66, Ready for Machining (SANPOWER), 4, 100, 70",HM07,"SANPOWER, GENERAL",,,True,29.4,25.4,4.0,13.61
ABB449,ABB457,CRITICAL,CRITICAL,Ready for Machining (OUT-EAGLE),"110, 90, 17, 2, 9.58438, 193, 40, 49.66, Ready for Machining (SANPOWER), 4, 100, 70",OUT-EAGLE,"SANPOWER, GENERAL",,,True,29.4,25.4,4.0,13.61
ABB401,ABB456,CRITICAL,CRITICAL,Ready for Machining (OUT-DYNO),"Ready for Machining (HM07), 110, 80, 154, 2, 50, 9.58438, 193, 60, 40, 49.66, 4, 17, 70",OUT-DYNO,"GENERAL, HM07",,,True,33.3,29.3,4.0,12.01
ABB405,ABB456,CRITICAL,CRITICAL,Ready for Machining (OUT-DYNO),"Ready for Machining (HM07), 110, 80, 154, 2, 50, 9.58438, 193, 60, 40, 49.66, 4, 17, 70",OUT-DYNO,"GENERAL, HM07",,,True,33.3,29.3,4.0,12.01
ABB420,ABB456,CRITICAL,CRITICAL,Ready for Machining (HM10),"Ready for Machining (HM07), 110, 80, 154, 2, 50, 9.58438, 193, 60, 40, 49.66, 4, 17, 70",HM10,"GENERAL, HM07",,,True,33.3,29.3,4.0,12.01
ABB449,ABB456,CRITICAL,CRITICAL,Ready for Machining (OUT-EAGLE),"Ready for Machining (HM07), 110, 80, 154, 2, 50, 9.58438, 193, 60, 40, 49.66, 4, 17, 70",OUT-EAGLE,"GENERAL, HM07",,,True,33.3,29.3,4.0,12.01
ABB401,ABB429,CRITICAL,CRITICAL,Ready for Machining (OUT-DYNO),"110, 80, 154, 120, 70, Ready for Machining (HM02), 2, 9.58438, 193, 60, 40, 140, 49.66, 1, 4, 17, 130",OUT-DYNO,"HM02, GENERAL",,,True,39.1,35.1,4.0,10.23
ABB405,ABB429,CRITICAL,CRITICAL,Ready for Machining (OUT-DYNO),"110, 80, 154, 120, 70, Ready for Machining (HM02), 2, 9.58438, 193, 60, 40, 140, 49.66, 1, 4, 17, 130",OUT-DYNO,"HM02, GENERAL",,,True,39.1,35.1,4.0,10.23
ABB420,ABB429,CRITICAL,CRITICAL,Ready for Machining (HM10),"110, 80, 154, 120, 70, Ready for Machining (HM02), 2, 9.58438, 193, 60, 40, 140, 49.66, 1, 4, 17, 130",HM10,"HM02, GENERAL",,,True,39.1,35.1,4.0,10.23
ABB429,ABB447,CRITICAL,CRITICAL,"110, 80, 154, 120, 70, Ready for Machining (HM02), 2, 9.58438, 193, 60, 40, 140, 49.66, 1, 4, 17, 130",Ready for Machining (HM07),"HM02, GENERAL",HM07,,,True,39.1,35.1,4.0,10.23
ABB429,ABB449,CRITICAL,CRITICAL,"110, 80, 154, 120, 70, Ready for Machining (HM02), 2, 9.58438, 193, 60, 40, 140, 49.66, 1, 4, 17, 130",Ready for Machining (OUT-EAGLE),"HM02, GENERAL",OUT-EAGLE,,,True,39.1,35.1,4.0,10.23
SIE469,ABB401,CRITICAL,CRITICAL,"110, 80, 154, 17, 70, 2, 9.58438, 193, 60, 40, 49.66, 4, 90, Ready for Machining (OUT-EAGLE)",Ready for Machining (OUT-DYNO),"OUT-EAGLE, GENERAL",OUT-DYNO,,,True,172.0,168.0,4.0,2.33
SIE469,ABB405,CRITICAL,CRITICAL,"110, 80, 154, 17, 70, 2, 9.58438, 193, 60, 40, 49.66, 4, 90, Ready for Machining (OUT-EAGLE)",Ready for Machining (OUT-DYNO),"OUT-EAGLE, GENERAL",OUT-DYNO,,,True,172.0,168.0,4.0,2.33
SIE469,ABB420,CRITICAL,CRITICAL,"110, 80, 154, 17, 70, 2, 9.58438, 193, 60, 40, 49.66, 4, 90, Ready for Machining (OUT-EAGLE)",Ready for Machining (HM10),"OUT-EAGLE, GENERAL",HM10,,,True,172.0,168.0,4.0,2.33
SIE469,ABB447,CRITICAL,CRITICAL,"110, 80, 154, 17, 70, 2, 9.58438, 193, 60, 40, 49.66, 4, 90, Ready for Machining (OUT-EAGLE)",Ready for Machining (HM07),"OUT-EAGLE, GENERAL",HM07,,,True,172.0,168.0,4.0,2.33
ARE255,ABB401,CRITICAL,CRITICAL,"110, 80, 154, 2, Ready for Machining (HM02), 50, 9.58438, 193, 60, 49.66, 10, 4, 17, 70",Ready for Machining (OUT-DYNO),"HM02, GENERAL",OUT-DYNO,,,True,232.0,228.0,4.0,1.72
ARE255,ABB405,CRITICAL,CRITICAL,"110, 80, 154, 2, Ready for Machining (HM02), 50, 9.58438, 193, 60, 49.66, 10, 4, 17, 70",Ready for Machining (OUT-DYNO),"HM02, GENERAL",OUT-DYNO,,,True,232.0,228.0,4.0,1.72
ARE255,ABB420,CRITICAL,CRITICAL,"110, 80, 154, 2, Ready for Machining (HM02), 50, 9.58438, 193, 60, 49.66, 10, 4, 17, 70",Ready for Machining (HM10),"HM02, GENERAL",HM10,,,True,232.0,228.0,4.0,1.72
ARE255,ABB447,CRITICAL,CRITICAL,"110, 80, 154, 2, Ready for Machining (HM02), 50, 9.58438, 193, 60, 49.66, 10, 4, 17, 70",Ready for Machining (HM07),"HM02, GENERAL",HM07,,,True,232.0,228.0,4.0,1.72
ARE255,ABB449,CRITICAL,CRITICAL,"110, 80, 154, 2, Ready for Machining (HM02), 50, 9.58438, 193, 60, 49.66, 10, 4, 17, 70",Ready for Machining (OUT-EAGLE),"HM02, GENERAL",OUT-EAGLE,,,True,232.0,228.0,4.0,1.72
ARE330,ABB401,CRITICAL,CRITICAL,"110, 80, 154, 2, Ready for Machining (HM05), 9.58438, 193, 60, 40, 140, 49.66, 1, 4, 17, 70",Ready for Machining (OUT-DYNO),"HM05, GENERAL",OUT-DYNO,,,True,232.0,228.0,4.0,1.72
ARE330,ABB405,CRITICAL,CRITICAL,"110, 80, 154, 2, Ready for Machining (HM05), 9.58438, 193, 60, 40, 140, 49.66, 1, 4, 17, 70",Ready for Machining (OUT-DYNO),"HM05, GENERAL",OUT-DYNO,,,True,232.0,228.0,4.0,1.72
ARE330,ABB420,CRITICAL,CRITICAL,"110, 80, 154, 2, Ready for Machining (HM05), 9.58438, 193, 60, 40, 140, 49.66, 1, 4, 17, 70",Ready for Machining (HM10),"HM05, GENERAL",HM10,,,True,232.0,228.0,4.0,1.72
ARE330,ABB447,CRITICAL,CRITICAL,"110, 80, 154, 2, Ready for Machining (HM05), 9.58438, 193, 60, 40, 140, 49.66, 1, 4, 17, 70",Ready for Machining (HM07),"HM05, GENERAL",HM07,,,True,232.0,228.0,4.0,1.72
ARE330,ABB449,CRITICAL,CRITICAL,"110, 80, 154, 2, Ready for Machining (HM05), 9.58438, 193, 60, 40, 140, 49.66, 1, 4, 17, 70",Ready for Machining (OUT-EAGLE),"HM05, GENERAL",OUT-EAGLE,,,True,232.0,228.0,4.0,1.72
HYO025,ABB420,CRITICAL,CRITICAL,"4, 110, 80, 154, Ready for Machining (OUT-DYNO), 17, 2, 50, 9.58438, 193, 60, 40, 49.66, 20, 1, 100, 70",Ready for Machining (HM10),"OUT-DYNO, GENERAL",HM10,,,True,232.0,228.0,4.0,1.72
HYO025,ABB447,CRITICAL,CRITICAL,"4, 110, 80, 154, Ready for Machining (OUT-DYNO), 17, 2, 50, 9.58438, 193, 60, 40, 49.66, 20, 1, 100, 70",Ready for Machining (HM07),"OUT-DYNO, GENERAL",HM07,,,True,232.0,228.0,4.0,1.72
HYO025,ABB449,CRITICAL,CRITICAL,"4, 110, 80, 154, Ready for Machining (OUT-DYNO), 17, 2, 50, 9.58438, 193, 60, 40, 49.66, 20, 1, 100, 70",Ready for Machining (OUT-EAGLE),"OUT-DYNO, GENERAL",OUT-EAGLE,,,True,232.0,228.0,4.0,1.72
HYO026,ABB420,CRITICAL,CRITICAL,"100, 4, 154, 17, Ready for Machining (OUT-DYNO), 30, 50, 2, 9.58438, 193, 60, 49.66, 1, 20, 70",Ready for Machining (HM10),"OUT-DYNO, GENERAL",HM10,,,True,232.0,228.0,4.0,1.72
HYO026,ABB447,CRITICAL,CRITICAL,"100, 4, 154, 17, Ready for Machining (OUT-DYNO), 30, 50, 2, 9.58438, 193, 60, 49.66, 1, 20, 70",Ready for Machining (HM07),"OUT-DYNO, GENERAL",HM07,,,True,232.0,228.0,4.0,1.72
HYO026,ABB449,CRITICAL,CRITICAL,"100, 4, 154, 17, Ready for Machining (OUT-DYNO), 30, 50, 2, 9.58438, 193, 60, 49.66, 1, 20, 70",Ready for Machining (OUT-EAGLE),"OUT-DYNO, GENERAL",OUT-EAGLE,,,True,232.0,228.0,4.0,1.72
ABB373,ABB401,CRITICAL,CRITICAL,"100, 110, 80, 30, 50, 70, 60, 40, 140, 20, Ready for Machining (HM01), 90, 130",Ready for Machining (OUT-DYNO),"GENERAL, HM01",OUT-DYNO,,,True,268.0,264.0,4.0,1.49
ABB373,ABB405,CRITICAL,CRITICAL,"100, 110, 80, 30, 50, 70, 60, 40, 140, 20, Ready for Machining (HM01), 90, 130",Ready for Machining (OUT-DYNO),"GENERAL, HM01",OUT-DYNO,,,True,268.0,264.0,4.0,1.49
ABB373,ABB420,CRITICAL,CRITICAL,"100, 110, 80, 30, 50, 70, 60, 40, 140, 20, Ready for Machining (HM01), 90, 130",Ready for Machining (HM10),"GENERAL, HM01",HM10,,,True,268.0,264.0,4.0,1.49
ABB373,ABB447,CRITICAL,CRITICAL,"100, 110, 80, 30, 50, 70, 60, 40, 140, 20, Ready for Machining (HM01), 90, 130",Ready for Machining (HM07),"GENERAL, HM01",HM07,,,True,268.0,264.0,4.0,1.49
ABB373,ABB449,CRITICAL,CRITICAL,"100, 110, 80, 30, 50, 70, 60, 40, 140, 20, Ready for Machining (HM01), 90, 130",Ready for Machining (OUT-EAGLE),"GENERAL, HM01",OUT-EAGLE,,,True,268.0,264.0,4.0,1.49
TOS013,ABB420,CRITICAL,CRITICAL,"4, 154, 80, Ready for Machining (OUT-DYNO), 30, 50, 2, 9.58438, 193, 60, 49.66, 1, 20, 70",Ready for Machining (HM10),"OUT-DYNO, GENERAL",HM10,,,True,319.0,315.0,4.0,1.25
TOS013,ABB447,CRITICAL,CRITICAL,"4, 154, 80, Ready for Machining (OUT-DYNO), 30, 50, 2, 9.58438, 193, 60, 49.66, 1, 20, 70",Ready for Machining (HM07),"OUT-DYNO, GENERAL",HM07,,,True,319.0,315.0,4.0,1.25
