ITEM_CODE,PROCESS_CODE,LEAD_TIME_DAYS,SEQUENCE
ABB373,2,12.0,1
SIE441,2,12.0,1
ARE330,2,12.0,1
SIE469,2,8.0,1
HYO025,2,12.0,1
HYO026,2,12.0,1
ABB436,2,15.0,1
ARE396,2,10.0,1
ARE255,2,12.0,1
TOS013,2,15.0,1
ABB373,4,12.0,2
SIE441,4,12.0,2
ARE330,4,12.0,2
SIE469,4,8.0,2
HYO025,4,12.0,2
HYO026,4,12.0,2
ABB436,4,15.0,2
ARE396,4,10.0,2
ARE255,4,12.0,2
TOS013,4,15.0,2
ABB373,5,12.0,3
SIE441,5,12.0,3
ARE330,5,12.0,3
SIE469,5,8.0,3
HYO025,5,12.0,3
HYO026,5,12.0,3
ABB436,5,15.0,3
ARE396,5,10.0,3
ARE255,5,12.0,3
TOS013,5,15.0,3
ABB373,9,12.0,4
SIE441,9,12.0,4
ARE330,9,12.0,4
SIE469,9,8.0,4
HYO025,9,12.0,4
HYO026,9,12.0,4
ABB436,9,15.0,4
ARE396,9,10.0,4
ARE255,9,12.0,4
TOS013,9,15.0,4
ABB373,12,12.0,5
SIE441,12,12.0,5
ARE330,12,12.0,5
SIE469,12,8.0,5
HYO025,12,12.0,5
HYO026,12,12.0,5
ABB436,12,15.0,5
ARE396,12,10.0,5
ARE255,12,12.0,5
TOS013,12,15.0,5
ABB373,13,12.0,6
SIE441,13,12.0,6
ARE330,13,12.0,6
SIE469,13,8.0,6
HYO025,13,12.0,6
HYO026,13,12.0,6
ABB436,13,15.0,6
ARE396,13,10.0,6
ARE255,13,12.0,6
TOS013,13,15.0,6
ABB373,15,12.0,7
SIE441,15,12.0,7
ARE330,15,12.0,7
SIE469,15,8.0,7
HYO025,15,12.0,7
HYO026,15,12.0,7
ABB436,15,15.0,7
ARE396,15,10.0,7
ARE255,15,12.0,7
TOS013,15,15.0,7
ABB373,19,12.0,8
SIE441,19,12.0,8
ARE330,19,12.0,8
SIE469,19,8.0,8
HYO025,19,12.0,8
HYO026,19,12.0,8
ABB436,19,15.0,8
ARE396,19,10.0,8
ARE255,19,12.0,8
TOS013,19,15.0,8
ABB373,22,12.0,9
SIE441,22,12.0,9
ARE330,22,12.0,9
SIE469,22,8.0,9
HYO025,22,12.0,9
HYO026,22,12.0,9
ABB436,22,15.0,9
ARE396,22,10.0,9
ARE255,22,12.0,9
TOS013,22,15.0,9
ABB373,26,12.0,10
SIE441,26,12.0,10
ARE330,26,12.0,10
SIE469,26,8.0,10
HYO025,26,12.0,10
HYO026,26,12.0,10
ABB436,26,15.0,10
ARE396,26,10.0,10
ARE255,26,12.0,10
TOS013,26,15.0,10
ABB373,27,12.0,11
SIE441,27,12.0,11
ARE330,27,12.0,11
SIE469,27,8.0,11
HYO025,27,12.0,11
HYO026,27,12.0,11
ABB436,27,15.0,11
ARE396,27,10.0,11
ARE255,27,12.0,11
TOS013,27,15.0,11
ABB373,31,12.0,12
SIE441,31,12.0,12
ARE330,31,12.0,12
SIE469,31,8.0,12
HYO025,31,12.0,12
HYO026,31,12.0,12
ABB436,31,15.0,12
ARE396,31,10.0,12
ARE255,31,12.0,12
TOS013,31,15.0,12
ABB373,32,12.0,13
SIE441,32,12.0,13
ARE330,32,12.0,13
SIE469,32,8.0,13
HYO025,32,12.0,13
HYO026,32,12.0,13
ABB436,32,15.0,13
ARE255,32,12.0,13
TOS013,32,15.0,13
ABB373,33,12.0,14
SIE441,33,12.0,14
ARE330,33,12.0,14
SIE469,33,8.0,14
ABB436,33,15.0,14
ARE255,33,12.0,14
TOS013,33,15.0,14
ABB373,34,12.0,15
ABB436,34,15.0,15
HYO025,37,12.0,14
HYO026,37,12.0,14
ARE396,37,10.0,13
ABB373,42,12.0,16
ABB373,43,12.0,17
SIE441,43,12.0,15
ARE330,43,12.0,15
SIE469,43,8.0,15
HYO025,43,12.0,15
HYO026,43,12.0,15
ABB436,43,15.0,16
ARE396,43,10.0,14
ARE255,43,12.0,15
TOS013,43,15.0,15
ABB373,44,12.0,18
SIE441,44,12.0,16
ARE330,44,12.0,16
SIE469,44,8.0,16
HYO025,44,12.0,16
HYO026,44,12.0,16
ABB436,44,15.0,17
ARE396,44,10.0,15
ARE255,44,12.0,16
TOS013,44,15.0,16
ABB373,48,12.0,19
SIE441,48,12.0,17
ARE330,48,12.0,17
SIE469,48,8.0,17
HYO025,48,12.0,17
HYO026,48,12.0,17
ABB436,48,15.0,18
ARE396,48,10.0,16
ARE255,48,12.0,17
TOS013,48,15.0,17
ABB373,50,12.0,20
SIE441,50,12.0,18
ARE330,50,12.0,18
SIE469,50,8.0,18
HYO025,50,12.0,18
HYO026,50,12.0,18
ABB436,50,15.0,19
ARE396,50,10.0,17
ARE255,50,12.0,18
TOS013,50,15.0,18
SIE469,55,8.0,19
ABB436,55,15.0,20
TOS013,55,15.0,19
SIE469,56,8.0,20
ABB436,56,15.0,21
TOS013,56,15.0,20
ABB373,63,12.0,21
ABB436,63,15.0,22
ARE396,63,10.0,18
ABB373,65,12.0,22
SIE441,65,12.0,19
ARE330,65,12.0,19
SIE469,65,8.0,21
HYO025,65,12.0,19
HYO026,65,12.0,19
ABB436,65,15.0,23
ARE396,65,10.0,19
ARE255,65,12.0,19
TOS013,65,15.0,21
