ITEM_CODE,AVAILABLE_QTY,TONNAGE,STATUS,TOTAL_OPEN,FULFILLMENT_RATE_PCT,STOCK_ADEQUACY,SHORTAGE_QTY
1HC0027512P0001,0.0,,,416.0,13.87,Out of Stock,416.0
1HC0027512P0001-UPACZ,0.0,,,42.0,0.0,Out of Stock,42.0
1HSB445422-B_R0E,0.0,,,853.0,9.54,Out of Stock,853.0
2GHV008286P0001_R0B,0.0,,,175.0,0.0,Out of Stock,175.0
C1B42748110001,0.0,,,2.0,0.0,Out of Stock,2.0
C1B46827479001_RU0,0.0,,,72.0,12.2,Out of Stock,72.0
CC01619-001,0.0,,,48.0,0.0,Out of Stock,48.0
DYB0613303W001,0.0,,,31.0,45.61,Out of Stock,31.0
DYB0623245W001,0.0,,,68.0,34.62,Out of Stock,68.0
HE70P21Z42161,0.0,,,177.0,1.67,Out of Stock,177.0
HE70P21Z42162,0.0,,,18.0,0.0,Out of Stock,18.0
HE70P21Z42171,0.0,,,4.0,73.33,Out of Stock,4.0
HRCC0015282103,0.0,,,153.0,15.0,Out of Stock,153.0
NO_STOCK,0.0,0.0,No Stock Data Available,0.0,0.0,Adequate,0.0
PTD4848110001,0.0,,,61.0,72.52,Out of Stock,61.0
T6866845#002_PNT,0.0,,,9.0,0.0,Out of Stock,9.0
T6866845#004_R04_PNT,0.0,,,326.0,13.3,Out of Stock,326.0
T6866845#008_PNT,0.0,,,85.0,0.0,Out of Stock,85.0
